,imdb_rating,n_lines,n_directions,n_speak_char,Angela,Dwight,Jim,Kevin,Michael,Oscar,Pam,Phyllis,Ryan,Stanley,Kelly,Toby,Meredith,Darryl,Creed,Andy,Erin,Charles McDougall,Greg Daniels,Ken Kwapis,Ken Whittingham,Other_director,Paul Feig,B.J. Novak,Gene Stupnitsky;Lee Eisenberg,Greg Daniels,Michael Schur,Other_writer,Paul Lieberstein,pos_score,neg_score
28,8.9,141,30,18,4.0,17.0,11.0,0.0,51.0,16.0,6.0,3.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0.179,0.102
29,8.2,299,11,21,9.0,37.0,32.0,3.0,108.0,0.0,30.0,2.0,3.0,1.0,8.0,6.0,1.0,0.0,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0.236,0.067
30,8.5,259,58,15,12.0,71.0,11.0,4.0,73.0,0.0,17.0,5.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0.184,0.091
31,8.0,236,52,19,6.0,35.0,15.0,2.0,82.0,0.0,25.0,3.0,6.0,5.0,4.0,3.0,1.0,0.0,6.0,4.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.164,0.136
32,8.2,262,16,18,4.0,45.0,45.0,3.0,33.0,0.0,52.0,2.0,36.0,6.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0.192,0.108
33,8.0,213,28,26,10.0,6.0,19.0,6.0,56.0,0.0,23.0,2.0,7.0,1.0,15.0,2.0,2.0,0.0,1.0,14.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.227,0.078
34,8.5,260,42,20,7.0,37.0,21.0,12.0,66.0,0.0,22.0,8.0,7.0,1.0,2.0,3.0,0.0,4.0,0.0,5.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0.198,0.071
35,8.7,474,52,21,4.0,73.0,66.0,7.0,125.0,0.0,36.0,8.0,9.0,4.0,6.0,16.0,2.0,0.0,2.0,40.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0.208,0.083
36,8.2,191,23,17,10.0,4.0,31.0,13.0,54.0,0.0,16.0,1.0,3.0,2.0,0.0,4.0,1.0,0.0,2.0,17.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.172,0.124
37,8.7,480,142,29,37.0,61.0,44.0,14.0,108.0,1.0,57.0,12.0,8.0,3.0,5.0,8.0,3.0,3.0,3.0,28.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.199,0.09
